id	word	tier	level	category	written_freq	spoken_freq	zhuyin	pinyin	definition	grammar
39117	頂撞	精熟	第7級		3.0	1.0	ㄉㄧㄥˇ ㄓㄨㄤˋ	dǐngzhuàng	to contradict (elders or superiors)	verb
39118	定罪	精熟	第7級		4.0	0.0	ㄉㄧㄥˋ ㄗㄨㄟˋ	dìngzuì	to convict (sb of a crime)	verb
39119	丟失	精熟	第7級		3.0	0.0	ㄉㄧㄡ ㄕ	diūshī	to lose, to misplace	verb
39120	動筆	精熟	第7級		4.0	1.0	ㄉㄨㄥˋ ㄅㄧˇ	dòngbǐ	to put pen to paper, to start writing or painting	verb
39121	洞察	精熟	第7級		5.0	1.0	ㄉㄨㄥˋ ㄔㄚˊ	dòngchá	to see clearly	verb
39122	東倒西歪	精熟	第7級		3.0	2.0	ㄉㄨㄥ ㄉㄠˇ ㄒㄧ ㄨㄞ	dōngdǎoxīwāi	to lean unsteadily from side to side (idiom), to sway, (of buildings etc) to lean at a crazy angle	verb
39123	動工	精熟	第7級		3.0	4.0	ㄉㄨㄥˋ ㄍㄨㄥ	dònggōng	to start (a building project)	verb
39124	恫嚇	精熟	第7級		3.0	2.0	ㄉㄨㄥˋ ㄏㄜˋ	dònghè	to intimidate, to threaten	verb
39125	凍結	精熟	第7級		5.0	5.0	ㄉㄨㄥˋ ㄐㄧㄝˊ	dòngjié	to freeze (water etc), (fig.) to freeze (assets, prices etc)	verb
39126	棟樑	精熟	第7級		1.0	0.0	ㄉㄨㄥˋ ㄌㄧㄤˊ	dòngliáng	beams of the house, a metaphor for people who bear important responsibilities for the country (棟梁)	noun
39127	動脈	精熟	第7級		6.0	6.0	ㄉㄨㄥˋ ㄇㄞˋ	dòngmài	artery	noun
39128	動能	精熟	第7級		8.0	2.0	ㄉㄨㄥˋ ㄋㄥˊ	dòngnéng	kinetic energy	noun
39129	動怒	精熟	第7級		3.0	0.0	ㄉㄨㄥˋ ㄋㄨˋ	dòngnù	to get angry	verb
39130	動容	精熟	第7級		4.0	4.0	ㄉㄨㄥˋ ㄖㄨㄥˊ	dòngróng	to be emotionally moved	verb
39131	東山再起	精熟	第7級		3.0	1.0	ㄉㄨㄥ ㄕㄢ ㄗㄞˋ ㄑㄧˇ	dōngshānzàiqǐ	lit. to return to office after living as a hermit on Mount Dongshan (idiom), fig. to make a comeback	
39132	動彈不得	精熟	第7級		6.0	3.0	ㄉㄨㄥˋ ㄊㄢ ˊㄅㄨˋ ㄉㄜˊ	dòngtánbùdé	to be unable to move a single step	verb
39133	洞悉	精熟	第7級		5.0	1.0	ㄉㄨㄥˋ ㄒㄧ	dòngxī	to clearly understand	verb
39134	動輒	精熟	第7級		6.0	4.0	ㄉㄨㄥˋ ㄓㄜˊ	dòngzhé	easily, readily, frequently, at every turn, at the slightest pretext	noun
39135	斗	精熟	第7級		9.0	7.0	ㄉㄡˇ	dǒu	dry measure for grain equal to ten 升[sheng1] or one-tenth of a 石[dan4], decaliter, peck, cup or dipper shaped object, old variant of 陡[dou3]	adjective
39136	兜	精熟	第7級		5.0	4.0	ㄉㄡ	dōu	pocket, bag, to wrap up or hold in a bag, to move in a circle, to canvas or solicit, to take responsibility for, to disclose in detail, combat armor (old)	noun
39137	斗大	精熟	第7級		3.0	2.0	ㄉㄡˇ ㄉㄚˋ	dǒudà	huge	noun
39138	兜風	精熟	第7級		3.0	1.0	ㄉㄡ ㄈㄥ	dōufēng	to catch the wind, to go for a spin in the fresh air	verb
39139	逗留	精熟	第7級		6.0	2.0	ㄉㄡˋ ㄌㄧㄡˊ	dòuliú	to stay at, to stop over	verb
39140	陡坡	精熟	第7級		3.0	1.0	ㄉㄡˇ ㄆㄛ	dǒupō	steep incline, water chute, sluice	noun
39141	陡峭	精熟	第7級		6.0	6.0	ㄉㄡˇ ㄑㄧㄠˋ	dǒuqiào	precipitous	noun
39142	逗趣	精熟	第7級		3.0	2.0	ㄉㄡˋ ㄑㄩˋ	dòuqù	to amuse, to make sb laugh, to tease	verb
39143	鬥士	精熟	第7級		4.0	7.0	ㄉㄡˋ ㄕˋ	dòushì	warrior, activist	noun
39144	兜售	精熟	第7級		3.0	3.0	ㄉㄡ ㄕㄡˋ	dōushòu	to hawk, to peddle	verb
39145	鬥志	精熟	第7級		7.0	3.0	ㄉㄡˋ ㄓˋ	dòuzhì	will to fight, fighting spirit	noun
39146	鬥智	精熟	第7級		3.0	0.0	ㄉㄡˋ ㄓˋ	dòuzhì	battle of wits	noun
39147	獨霸	精熟	第7級		3.0	1.0	ㄉㄨˊ ㄅㄚˋ	dúbà	to dominate (a market etc), to monopolize	verb
39148	渡船	精熟	第7級		3.0	1.0	ㄉㄨˋ ㄔㄨㄢˊ	dùchuán	ferry	noun
39149	獨創	精熟	第7級		3.0	2.0	ㄉㄨˊ ㄔㄨㄤˋ	dúchuàng	to come up with (an innovation), innovation	verb
39150	督促	精熟	第7級		5.0	5.0	ㄉㄨ ㄘㄨˋ	dūcù	to supervise and urge completion of a task, to urge on	verb
39151	獨當一面	精熟	第7級		3.0	2.0	ㄉㄨˊ ㄉㄤ ㄧˊ ㄇㄧㄢˋ	dúdāngyímiàn	to assume personal responsibility (idiom), to take charge of a section	verb
39152	督導	精熟	第7級		5.0	1.0	ㄉㄨ ㄉㄠˇ	dūdǎo	to direct, to oversee	verb
39153	篤定	精熟	第7級		6.0	5.0	ㄉㄨˇ ㄉㄧㄥˋ	dǔdìng	certain, confident (of some outcome), calm and unhurried	adjective
39154	獨斷	精熟	第7級		3.0	0.0	ㄉㄨˊ ㄉㄨㄢˋ	dúduàn	to decide alone without consultation, arbitrary, dictatorial	verb
39155	毒害	精熟	第7級		4.0	3.0	ㄉㄨˊ ㄏㄞˋ	dúhài	to harm (sb's health) with narcotics etc, to poison (people's minds), to corrupt, pernicious influence	verb
39156	都會	精熟	第7級		4.0	8.0	ㄉㄨ ㄏㄨㄟˋ	dūhuì	city, metropolis	noun
39157	妒忌	精熟	第7級		3.0	1.0	ㄉㄨˋ ㄐㄧˋ	dùjì	to be jealous of (sb's achievements etc), to be envious, envy	verb
39158	鍍金	精熟	第7級		3.0	1.0	ㄉㄨˋ ㄐㄧㄣ	dùjīn	to gold-plate, to gild, (fig.) to make sth quite ordinary seem special	verb
39159	獨居	精熟	第7級		4.0	13.0	ㄉㄨˊ ㄐㄩ	dújū	to live alone, to live a solitary existence	verb
39160	獨具	精熟	第7級		4.0	1.0	ㄉㄨˊ ㄐㄩˋ	dújù	to have unique (talent, insight etc)	verb
39161	杜絕	精熟	第7級		4.0	2.0	ㄉㄨˋ ㄐㄩㄝˊ	dùjué	to put an end to	verb
39162	獨門	精熟	第7級		3.0	2.0	ㄉㄨˊ ㄇㄣˊ	dúmén	a certain skill or secret unique to one person or one family: a unique skill.	noun
39163	嘟囔	精熟	第7級		2.0	0.0	ㄉㄨ ˙ㄋㄤ	dūnang	to mumble to oneself	verb
39164	嘟噥	精熟	第7級		3.0	0.0	ㄉㄨ ˙ㄋㄨㄥ	dūnong	to mutter, to mumble complaints, to grumble	verb
39165	賭氣	精熟	第7級		4.0	2.0	ㄉㄨˇ ㄑㄧˋ	dǔqì	to act in a fit of pique, to get in a huff, to be peeved	verb
39166	獨身	精熟	第7級		3.0	0.0	ㄉㄨˊ ㄕㄣ	dúshēn	unmarried, single	noun
39167	賭徒	精熟	第7級		4.0	0.0	ㄉㄨˇ ㄊㄨˊ	dǔtú	gambler	noun
39168	獨享	精熟	第7級		2.0	1.0	ㄉㄨˊ ㄒㄧㄤˇ	dúxiǎng	to enjoy something alone without sharing it with anyone	verb
39169	篤信	精熟	第7級		3.0	3.0	ㄉㄨˇ ㄒㄧㄣˋ	dǔxìn	to sincerely believe	verb
39170	獨行	精熟	第7級		3.0	1.0	ㄉㄨˊ ㄒㄧㄥˊ	dúxíng	solitary	noun
39171	獨佔/獨占	精熟	第7級		8.0	3.0	ㄉㄨˊ ㄓㄢˋ	dúzhàn	to monopolize, to control, to dominate	verb
39172	杜撰	精熟	第7級		3.0	1.0	ㄉㄨˋ ㄓㄨㄢˋ	dùzhuàn	to fabricate, to make sth up, invented	verb
39173	端倪	精熟	第7級		5.0	3.0	ㄉㄨㄢ ㄋㄧˊ	duānní	boundary, clue, indication, to obtain clues, to infer	noun
39174	斷氣	精熟	第7級		3.0	1.0	ㄉㄨㄢˋ ㄑㄧˋ	duànqì	to stop breathing, to breathe one's last, to die, to cut the gas supply	verb
39175	端視	精熟	第7級		3.0	0.0	ㄉㄨㄢ ㄕˋ	duānshì	to look carefully	verb
39176	斷送	精熟	第7級		3.0	0.0	ㄉㄨㄢˋ ㄙㄨㄥˋ	duànsòng	to forfeit (future profit, one's life etc), ruined	verb
39177	端詳	精熟	第7級		9.0	2.0	ㄉㄨㄢ ㄒㄧㄤˊ	duānxiáng	full details, full particulars, to look over carefully, to scrutinize	adjective
39178	斷言	精熟	第7級		5.0	1.0	ㄉㄨㄢˋ ㄧㄢˊ	duànyán	to assert, assertion	verb
39179	端正	精熟	第7級		5.0	2.0	ㄉㄨㄢ ㄓㄥˋ	duānzhèng	upright, regular, proper, correct	noun
39180	端莊	精熟	第7級		4.0	2.0	ㄉㄨㄢ ㄓㄨㄤ	duānzhuāng	dignified, composed	noun
39181	堆疊	精熟	第7級		4.0	4.0	ㄉㄨㄟ ㄉㄧㄝˊ	duīdié	to pile up, to put layer upon layer, (Tw) (computing) stack	verb
39182	對聯	精熟	第7級		6.0	2.0	ㄉㄨㄟˋ ㄌㄧㄢˊ	duìlián	rhyming couplet, pair of lines of verse written vertically down the sides of a doorway, CL:副[fu4], 幅[fu2]	noun
39183	堆砌	精熟	第7級		2.0	1.0	ㄉㄨㄟ ㄑㄧˋ	duīqì	lit. to pile up (bricks), to pack, fig. to pad out (writing with fancy phrases), ornate rhetoric	
39184	對望	精熟	第7級		3.0	1.0	ㄉㄨㄟˋ ㄨㄤˋ	duìwàng	to look at each other	verb
39185	兌現	精熟	第7級		4.0	3.0	ㄉㄨㄟˋ ㄒㄧㄢˋ	duìxiàn	(of a check etc) to cash, to honor a commitment	
39186	對症下藥	精熟	第7級		4.0	2.0	ㄉㄨㄟˋ ㄓㄥˋ ㄒㄧㄚˋ ㄧㄠˋ	duìzhèngxiàyào	lit. to prescribe the right medicine for an illness (idiom), fig. to study a problem to find the right way to solve it, to take appropriate steps	noun
39187	鈍	精熟	第7級		3.0	2.0	ㄉㄨㄣˋ	dùn	blunt, stupid	noun
